;Type;prediction 4923
421;Diels-Alder;7.496883720224314
422;Diels-Alder;8.396579913026347
423;Diels-Alder;6.741073929212336
424;Diels-Alder;6.886608522488364
425;Diels-Alder;7.235606740474955
426;Diels-Alder;6.755400106448754
427;Diels-Alder;6.61439709283326
428;Diels-Alder;8.390271138995674
429;Diels-Alder;7.533358274064689
430;Diels-Alder;6.903809248576097
431;Diels-Alder;7.443678658544124
432;Diels-Alder;7.223609592404727
433;Diels-Alder;6.49065630780892
434;Diels-Alder;6.937166998745886
435;Diels-Alder;7.008478832821558
436;Diels-Alder;6.727538382252691
437;Diels-Alder;7.630997564730251
438;Diels-Alder;6.952925660278272
439;Diels-Alder;7.402523693749951
440;Diels-Alder;7.1503340859701865
441;Diels-Alder;6.792507145167687
442;Diels-Alder;6.665398534402875
443;Diels-Alder;7.484122436530014
444;Diels-Alder;6.7660759015360155
445;Diels-Alder;8.392154792031334
446;Diels-Alder;6.8889517466434045
447;Diels-Alder;6.967148546417049
448;Diels-Alder;7.353823636705323
449;Diels-Alder;6.480185485920754
450;Diels-Alder;6.9231461401657794
451;Diels-Alder;6.923742511498557
452;Diels-Alder;7.203802836703674
453;Diels-Alder;7.303430746371369
454;Diels-Alder;6.756044781974026
455;Diels-Alder;7.033996261347232
456;Diels-Alder;6.477903258718758
457;Diels-Alder;6.716663975485042
458;Diels-Alder;7.374345843093842
459;Diels-Alder;7.411302713868627
460;Diels-Alder;6.735434449468859
461;Diels-Alder;8.048418240157966
462;Diels-Alder;6.958030267328956
463;Diels-Alder;6.674561840839797
464;Diels-Alder;6.623047526795618
465;Diels-Alder;6.561793822527158
466;Diels-Alder;6.442381185496717
467;Diels-Alder;6.910841226286597
468;Diels-Alder;7.185451823612632
469;Diels-Alder;7.451643949084324
470;Diels-Alder;7.330467846864977
471;Diels-Alder;7.161835336348686
472;Diels-Alder;6.7113791353517795
473;Diels-Alder;6.774262851693425
474;Diels-Alder;6.8001158769255685
475;Diels-Alder;7.511701304648929
476;Diels-Alder;7.353671102843347
477;Diels-Alder;7.329619652472131
478;Diels-Alder;7.089206122835433
479;Diels-Alder;8.415388761686874
480;Diels-Alder;8.47566795172515
481;Diels-Alder;7.1263384413446715
482;Diels-Alder;6.953754777579663
483;Diels-Alder;6.779899094758027
484;Diels-Alder;7.108200050915589
485;Diels-Alder;7.191624216220502
486;Diels-Alder;6.953778173867236
487;Diels-Alder;6.7536354502990825
488;Diels-Alder;7.245443207594979
489;Diels-Alder;6.908220836406702
490;Diels-Alder;6.883590139983691
491;Diels-Alder;6.684463605692427
492;Diels-Alder;6.752270848591212
493;Diels-Alder;7.205506490455067
494;Diels-Alder;8.254970928006369
495;Diels-Alder;8.415339342138214
496;Diels-Alder;6.810679671981907
497;Diels-Alder;7.479658256084431
498;Diels-Alder;6.951573313697324
499;Diels-Alder;7.343559958631371
500;Diels-Alder;6.927916601619328
501;Diels-Alder;6.961763702385325
502;Diels-Alder;6.896488201335343
503;Diels-Alder;6.477903258718758
504;Diels-Alder;7.34457246332298
505;Diels-Alder;6.6901853290664075
506;Diels-Alder;7.2435341945844005
507;Diels-Alder;6.7346939484339625
508;Diels-Alder;6.622596582770507
509;Diels-Alder;6.602366706837971
510;Diels-Alder;7.451044326937641
511;Diels-Alder;6.61439709283326
512;Diels-Alder;6.999101288612028
513;Diels-Alder;7.429768640849799
514;Diels-Alder;7.0955219672869445
515;Diels-Alder;7.994463561612232
516;Diels-Alder;7.033464888385659
517;Diels-Alder;6.910988004151026
518;Diels-Alder;7.058114801560581
519;Diels-Alder;8.234069557343533
520;Diels-Alder;6.796467761649952
521;Diels-Alder;6.948259745595157
522;Diels-Alder;6.962226033973021
523;Diels-Alder;6.715922768201407
524;Diels-Alder;7.013431932280307
525;Diels-Alder;6.845983148378134
526;Diels-Alder;6.794300832075655
527;Diels-Alder;6.709905128997626
528;Diels-Alder;6.97791636405086
529;Diels-Alder;6.712493915278321
530;Diels-Alder;6.778854215362816
531;Diels-Alder;6.594294180981897
532;Diels-Alder;9.333668768644216
533;Diels-Alder;6.874015068095688
534;Diels-Alder;6.867544378565615
535;Diels-Alder;6.861466719241089
536;Diels-Alder;7.095416626603612
537;Diels-Alder;6.527376852122048
538;Diels-Alder;6.875962041712495
539;Diels-Alder;8.337843218155186
540;Diels-Alder;6.841113445008666
541;Diels-Alder;7.584605091868557
542;Diels-Alder;6.948259745595157
543;Diels-Alder;7.293002357282045
544;Diels-Alder;7.390221467921503
545;Diels-Alder;6.705462171640274
546;Diels-Alder;8.4433298106516
547;Diels-Alder;6.72464232406458
548;Diels-Alder;6.704317417930944
549;Diels-Alder;6.581126874237992
550;Diels-Alder;6.651194737811532
551;Diels-Alder;6.76842235921023
552;Diels-Alder;6.688823673028256
553;Diels-Alder;6.951981634276885
554;Diels-Alder;7.460918109652881
555;Diels-Alder;7.061161871970983
556;Diels-Alder;6.536624460399427
557;Diels-Alder;7.266357104593041
558;Diels-Alder;7.181206076658675
559;Diels-Alder;6.355238126714349
560;Diels-Alder;6.903864037456541
561;Diels-Alder;6.983961099189232
562;Diels-Alder;6.979884618284003
563;Diels-Alder;6.957686606455763
564;Diels-Alder;6.772231811419262
565;Diels-Alder;6.686207377059531
566;Diels-Alder;6.861739341430426
567;Diels-Alder;8.314614614017122
568;Diels-Alder;7.2779991947361395
569;Diels-Alder;6.755475523478331
570;Diels-Alder;6.657034957220022
571;Diels-Alder;7.119058431593176
572;Diels-Alder;6.810998701845758
573;Diels-Alder;6.890359168260427
574;Diels-Alder;7.204252344869061
575;Diels-Alder;6.4417829268973685
576;Diels-Alder;7.295131953824701
577;Diels-Alder;6.913058986936534
578;Diels-Alder;7.261148099717296
579;Diels-Alder;6.734236332201945
580;Diels-Alder;7.252023078515795
581;Diels-Alder;6.698903276504077
582;Diels-Alder;6.611271362263554
583;Diels-Alder;7.624198990450308
584;Diels-Alder;6.752495619173619
585;Diels-Alder;7.026335337940588
586;Diels-Alder;6.934254623010477
587;Diels-Alder;7.149417099393366
588;Diels-Alder;6.9430863024695295
589;Diels-Alder;6.590533973672683
590;Diels-Alder;6.990142834656353
591;Diels-Alder;6.781038925883491
592;Diels-Alder;6.671167200962189
593;Diels-Alder;6.7111908077843285
594;Diels-Alder;6.70897403530064
595;Diels-Alder;7.028406616175014
596;Diels-Alder;6.876265535644777
597;Diels-Alder;6.720241544134221
598;Diels-Alder;7.5133220650228765
599;Diels-Alder;6.665695464529278
600;Diels-Alder;6.734236332201945
601;Diels-Alder;6.952925660278272
602;Diels-Alder;7.258435054514877
603;Diels-Alder;8.417270218636165
604;Diels-Alder;6.707036526755898
605;Diels-Alder;6.803996830221332
606;Diels-Alder;7.234398700236551
607;Diels-Alder;6.991797818753296
608;Diels-Alder;6.806254657155046
609;Diels-Alder;6.373036743481343
610;Diels-Alder;6.6977137679572705
611;Diels-Alder;8.147801665198344
612;Diels-Alder;6.6332785161473105
613;Diels-Alder;7.137273566432478
614;Diels-Alder;8.35715654306044
615;Diels-Alder;6.452226096999844
616;Diels-Alder;6.700006254480323
617;Diels-Alder;6.7173745378171885
618;Diels-Alder;7.023896810478691
619;Diels-Alder;6.4417829268973685
620;Diels-Alder;6.678543641080305
621;Diels-Alder;6.8702144718896765
622;Diels-Alder;6.61497754029939
623;Diels-Alder;6.892393432695669
624;Diels-Alder;6.615786274930364
625;Diels-Alder;6.6238555151201375
626;Diels-Alder;6.8001158769255685
627;Diels-Alder;6.7459350518295995
628;Diels-Alder;6.49065630780892
629;Diels-Alder;6.5251970801492565
630;Diels-Alder;6.643429738957956
631;Diels-Alder;6.970969978727327
633;Diels-Alder;6.797110551159012
634;Diels-Alder;7.110259905480248
635;Diels-Alder;7.453949493684546
636;Diels-Alder;6.373036743481343
637;Diels-Alder;8.214973036582109
638;Diels-Alder;6.7636143745029536
639;Diels-Alder;6.823914534266375
640;Diels-Alder;6.979641306306437
641;Diels-Alder;7.1729049791915624
642;Diels-Alder;6.456300090565612
643;Diels-Alder;6.959016082035054
644;Diels-Alder;6.717600840216113
645;Diels-Alder;7.360342638918093
646;Diels-Alder;7.605569793336993
647;Diels-Alder;6.749793538536804
648;Diels-Alder;6.70194782648983
649;Diels-Alder;6.562108314656395
650;Diels-Alder;6.726694320378968
651;Diels-Alder;6.630966285239368
652;Diels-Alder;7.477941550579493
653;Diels-Alder;6.733607023052899
654;Diels-Alder;7.184690562528884
655;Diels-Alder;6.629299322967185
656;Diels-Alder;6.964645677860805
657;Diels-Alder;8.437638229613928
658;Diels-Alder;7.523105237849272
659;Diels-Alder;7.531270189230817
660;Diels-Alder;6.726733059220565
661;Diels-Alder;6.607758720252433
662;Diels-Alder;7.430099909160447
663;Diels-Alder;6.9574905528334225
664;Diels-Alder;6.388189397254333
665;Diels-Alder;6.901834814934159
666;Diels-Alder;7.237047280856905
667;Diels-Alder;6.841036673487006
668;Diels-Alder;8.422459628799643
669;Diels-Alder;6.675890812898238
670;Diels-Alder;6.552297524247097
671;Diels-Alder;6.612750656734857
672;Diels-Alder;6.963559384318819
673;Diels-Alder;6.5978934012889905
674;Diels-Alder;6.801752205299399
675;Diels-Alder;6.822303969543064
676;Diels-Alder;6.85289597256911
677;Diels-Alder;6.939356518960088
678;Diels-Alder;6.735209392658132
679;Diels-Alder;6.739591585958161
680;Diels-Alder;6.79842871446059
681;Diels-Alder;6.715630684768565
682;Diels-Alder;6.830721533805406
683;Diels-Alder;6.850568738617094
684;Diels-Alder;6.91177406203824
685;Diels-Alder;6.928399767341112
686;Diels-Alder;6.351164133148583
687;Diels-Alder;6.880801346997177
688;Diels-Alder;7.106621054825524
689;Diels-Alder;8.361813339950672
690;Diels-Alder;6.730971031980783
691;Diels-Alder;6.671916720583359
692;Diels-Alder;6.848391607915822
693;Diels-Alder;8.54777859563346
694;Diels-Alder;7.4984017682310515
695;Diels-Alder;7.507212610937749
696;Diels-Alder;7.456021376300631
697;Diels-Alder;7.155960968045563
698;Diels-Alder;8.128753342408462
699;Diels-Alder;7.163310172890913
700;Diels-Alder;6.8975533294454
701;Diels-Alder;7.022224807115042
702;Diels-Alder;6.8817593880174535
703;Diels-Alder;7.402519359209917
704;Diels-Alder;7.440732268227704
705;Diels-Alder;7.330591616551379
706;Diels-Alder;6.980849707937806
707;Diels-Alder;6.724632744619033
708;Diels-Alder;6.737259447788588
709;Diels-Alder;7.032832628146949
710;Diels-Alder;7.5745142352559025
711;Diels-Alder;6.705339416510813
712;Diels-Alder;6.792445160156736
713;Diels-Alder;6.579547430168579
714;Diels-Alder;7.5145786114977575
715;Diels-Alder;6.991032100412833
716;Diels-Alder;7.153740738275351
717;Diels-Alder;6.796306989261787
718;Diels-Alder;6.785779009127138
719;Diels-Alder;7.847623081641958
720;Diels-Alder;6.934941334621059
722;Diels-Alder;6.5159010588797255
723;Diels-Alder;6.598496117845644
724;Diels-Alder;6.540547503094956
725;Diels-Alder;7.187650991083784
726;Diels-Alder;6.716659592541707
727;Diels-Alder;7.1503340859701865
728;Diels-Alder;6.670642225197774
729;Diels-Alder;4.450228724925828
730;Diels-Alder;6.609637906085988
731;Diels-Alder;4.776710262313083
732;Diels-Alder;4.510335515370729
733;Diels-Alder;6.609676114143961
734;Diels-Alder;6.80319869791576
735;Diels-Alder;4.670621068763158
736;Diels-Alder;4.567762965088745
737;Diels-Alder;5.0892357753380235
738;Diels-Alder;5.216715373624548
739;Diels-Alder;5.172052113500324
740;Diels-Alder;4.28750439838298
741;Diels-Alder;6.802860874776903
742;Diels-Alder;4.840987000395417
743;Diels-Alder;5.177892927044762
744;Diels-Alder;6.707821526977517
746;Diels-Alder;5.593458628268221
747;Diels-Alder;6.629952441676358
748;Diels-Alder;6.723337521245677
749;Diels-Alder;4.535355122018169
750;Diels-Alder;6.635202752155395
752;Diels-Alder;4.587154232676603
753;Diels-Alder;5.161304390846736
754;Diels-Alder;5.0304689219466505
755;Diels-Alder;4.00475616094874
756;Diels-Alder;4.067754116999735
757;Diels-Alder;4.828552399306636
758;Diels-Alder;5.6530680140821685
759;Diels-Alder;5.046690832096649
760;Diels-Alder;4.761787324379636
761;Diels-Alder;4.57979844028186
762;Diels-Alder;4.827860318224114
763;Diels-Alder;6.554879298826817
764;Diels-Alder;5.387472402344995
765;Diels-Alder;5.651126237755089
766;Diels-Alder;4.987744453918653
767;Diels-Alder;4.906407157071716
768;Diels-Alder;5.436476761725149
770;Diels-Alder;5.492457263205883
771;Diels-Alder;5.136621693869432
772;Diels-Alder;4.061477963366712
773;Diels-Alder;4.8371490928943315
774;Diels-Alder;6.606091816701987
775;Diels-Alder;4.68895952346408
776;Diels-Alder;4.8305213238391795
777;Diels-Alder;5.1071169327323735
778;Diels-Alder;4.924065600471601
779;Diels-Alder;4.637298125544013
780;Diels-Alder;4.784239393138672
781;Diels-Alder;5.3711810731882705
